Human;Mouse
PLAT;Plat
PREX1;Prex1
C1orf27;BC003331
DSC3;Dsc3
STAG1;Stag1
EIF4EBP2;Eif4ebp2
MYH8;Myh8
PNPO;Pnpo
RFXAP;Rfxap
BRCA1;Brca1
MTHFD2;Mthfd2
HNF4A;Hnf4a
IRF3;Irf3
MRPS7;Mrps7
FKBP14;Fkbp14
WRB;Wrb
MYBPC2;Mybpc2
NHSL1;Nhsl1
EIF2B1;Eif2b1
SEC24A;Sec24a
SLC30A5;Slc30a5
SNRPB2;Snrpb2
ZNF436;Zfp46
SGCD;Sgcd
TANK;Tank
BTG3;Btg3
FBXL13;Fbxl13
TRAF6;Traf6
CRIP3;Crip3
MARS;Mars
THOC3;Thoc3
FYB;Fyb
STAT5B;Stat5b
XPO5;Xpo5
ENTPD1;Entpd1
HOXA10;Hoxa10
ECH1;Ech1
PNRC1;Pnrc1
SHB;Shb
CXCL2;Cxcl1
FABP2;Fabp2
IER3;Ier3
SSR3;Ssr3
PBK;Pbk
SRGAP2;Srgap2
TRIM68;Trim68
ATP6V1C2;Atp6v1c2
KDR;Kdr
GGT1;Ggt1
XPO7;Xpo7
BTBD8;Btbd8
CDC42SE1;Cdc42se1
DHX36;Dhx36
SDCBP2;Sdcbp2
ARHGEF5;Arhgef5
E2F1;E2f1
COPS7A;Cops7a
BCCIP;Bccip
PANK4;Pank4
UBP1;Ubp1
KCNH5;Kcnh5
NRIP2;Nrip2
C22orf23;1700088E04Rik
LTBP1;Ltbp1
MCFD2;Mcfd2
TLL1;Tll1
CGN;Cgn
GLB1L;Glb1l
GBF1;Gbf1
MBNL1;Mbnl1
PPIB;Ppib
SPR;Spr
BHMT2;Bhmt2
NPEPPS;Npepps
RFFL;Rffl
SLC39A1;Slc39a1
MRPS5;Mrps5
CADPS2;Cadps2
IFNAR1;Ifnar1
LTA;Lta
MYBL1;Mybl1
AP1M2;Ap1m2
ATP1B2;Atp1b2
GPC5;Gpc5
MED12;Med12
RAB25;Rab25
JARID2;Jarid2
DKK1;Dkk1
ARHGAP20;Arhgap20
DDX56;Ddx56
GALNT13;Galnt13
TRAPPC3;Trappc3
ULK4;Ulk4
LANCL1;Lancl1
NEK2;Nek2
TF;Trf
WASF1;Wasf1
CHAT;Chat
GLUL;Glul
RAB3GAP1;Rab3gap1
PRG2;Prg2
ATP6V1G1;Atp6v1g1
SERF2;Serf2
ZNF142;Zfp142
FBXL7;Fbxl7
PRKRA;Prkra
PSMD2;Psmd2
ANKRD29;Ankrd29
GTF2E2;Gtf2e2
ALOX15;Alox15
CAPZA3;Capza3
SLC20A1;Slc20a1
GOLPH3;Golph3
TRAF3;Traf3
EP300;Ep300
SHBG;Shbg
ERBB4;Erbb4
SEC24D;Sec24d
ADPRHL1;Adprhl1
AMPD2;Ampd2
C20orf141;1700020A23Rik
USP30;Usp30
PCYT1A;Pcyt1a
ILF3;Ilf3
BLOC1S2;Bloc1s2
CHDH;Chdh
CSNK1G1;Csnk1g1
KIAA0368;AI314180
PSMD3;Psmd3
OR2A4;Olfr13
